27 -0.46 -0.04 1.83 1.90 0.46 -0.19 -0.39 -0.01 0.45 0.43
60 0.12 -0.50 0.83 0.98 0.52 0.12 -0.47 1.04 1.16 0.49
80 -0.28 0.51 0.68 0.90 0.58 0.96 0.10 2.43 2.62 0.97
96 0.43 0.39 2.91 2.97 0.58 -0.37 0.34 1.76 1.84 0.50
169 0.82 0.02 1.16 1.43 0.82 -0.02 -0.45 0.86 0.99 0.45
181 0.05 -0.20 0.40 0.47 0.21 0.91 0.02 6.10 6.17 0.91
208 0.39 -0.28 1.07 1.18 0.48 -0.06 0.33 0.30 0.47 0.33
198 -0.52 0.35 2.78 2.85 0.63 0.55 -0.52 0.95 1.22 0.76
272 -0.06 0.50 0.43 0.68 0.50 0.15 -0.31 0.80 0.88 0.34
274 -0.58 -1.05 2.48 2.75 1.20 0.24 0.02 0.11 0.30 0.24
311 -0.39 0.23 2.50 2.55 0.46 0.21 -0.21 0.29 0.44 0.30
340 -0.33 -0.06 0.15 0.39 0.33 0.41 0.22 0.71 0.86 0.46
346 -0.00 0.45 0.75 0.89 0.45 0.09 -0.19 0.21 0.33 0.21
361 0.23 -0.17 1.68 1.71 0.29 0.07 0.30 0.37 0.50 0.31
358 0.16 0.33 1.96 1.99 0.37 -0.18 -0.14 0.21 0.34 0.23
384 0.22 0.34 1.56 1.62 0.41 0.81 -0.44 3.06 3.20 0.93
419 0.31 -0.06 0.02 0.34 0.31 -0.22 0.32 0.34 0.53 0.39
396 0.73 0.10 1.93 2.07 0.74 0.55 0.17 1.31 1.44 0.58
428 -0.24 -0.29 2.76 2.79 0.38 -0.47 -0.03 1.12 1.22 0.47
437 -0.09 -0.01 0.75 0.76 0.09 0.42 -0.28 1.15 1.26 0.50
440 -0.41 0.35 1.11 1.24 0.54 -0.17 -0.58 0.45 0.77 0.61
474 -0.01 -0.47 2.00 2.06 0.47 0.19 0.31 0.17 0.42 0.36
502 -0.06 -0.38 0.13 0.43 0.38 0.62 0.19 3.20 3.27 0.65
506 -0.41 -0.36 3.99 4.03 0.54 0.13 0.34 0.55 0.68 0.36
536 0.07 0.19 0.51 0.57 0.20 -0.32 0.20 0.89 0.98 0.38
582 0.12 0.19 1.51 1.54 0.22 -0.31 0.31 0.70 0.84 0.44
598 0.28 -0.00 1.61 1.64 0.28 -0.08 -0.50 0.21 0.56 0.50
663 0.30 0.08 0.83 0.89 0.31 -0.11 -0.45 0.37 0.61 0.47
686 0.65 -0.34 1.28 1.48 0.73 -0.13 0.34 0.64 0.75 0.37
774 0.13 0.55 0.42 0.72 0.57 -0.36 0.13 0.44 0.60 0.38
787 -0.42 -0.24 0.02 0.51 0.49 0.31 0.18 0.82 0.91 0.36
800 0.41 -0.19 3.11 3.15 0.45 -0.79 -0.11 0.74 1.10 0.79
804 0.26 0.06 0.46 0.55 0.27 -0.25 0.37 0.21 0.52 0.45
824 -0.27 -0.14 0.79 0.86 0.30 -0.95 -0.04 3.69 3.82 0.95
835 0.22 0.27 0.25 0.45 0.34 0.68 0.04 1.87 2.00 0.68
938 0.20 0.08 0.73 0.78 0.22 -0.43 -0.85 1.19 1.54 0.96
912 -0.24 -0.19 0.38 0.51 0.31 0.21 0.06 0.11 0.28 0.22
950 -0.01 0.27 1.06 1.10 0.27 -0.14 -0.49 0.11 0.54 0.51
995 -0.34 0.09 1.48 1.53 0.35 -0.05 -0.75 0.58 0.96 0.75
991 -0.02 -0.23 1.67 1.69 0.24 -0.42 -0.31 1.81 1.88 0.52
990 -0.34 -0.03 0.61 0.71 0.34 -0.07 -0.42 1.49 1.55 0.43
985 0.15 0.30 0.62 0.72 0.34 0.07 0.37 0.51 0.65 0.38
1031 0.15 0.09 0.66 0.69 0.17 -0.40 -0.25 1.68 1.76 0.47
1014 0.22 -0.14 1.17 1.21 0.26 0.18 -0.37 0.48 0.64 0.41
1044 -0.01 -0.10 0.80 0.82 0.10 0.26 -0.37 0.56 0.74 0.45
1130 0.14 -0.76 1.29 1.50 0.77 -0.29 -0.35 0.61 0.77 0.45
1184 -0.64 -0.01 2.87 2.95 0.64 -0.28 0.28 1.21 1.28 0.40
1113 0.19 -0.32 2.23 2.26 0.37 0.59 -0.39 0.97 1.21 0.71
1225 -0.40 0.28 0.48 0.70 0.49 0.03 -0.68 0.54 0.88 0.68
1219 -0.07 -0.47 0.76 0.90 0.47 -0.52 0.26 0.58 0.83 0.58
1217 -0.27 0.03 0.43 0.53 0.27 -0.19 0.41 0.52 0.70 0.45
1265 -0.31 0.41 3.66 3.70 0.51 0.10 0.61 1.72 1.83 0.62
1272 0.07 -0.26 0.08 0.31 0.27 -0.16 0.40 0.89 1.00 0.43
